"","Sites","Atoll","Environment","Replicate.ID","Latitude","Longitude","Year","Month"
"DAY1_BC",NA,"Thevenard","Day1","BC",NA,NA,2021,"February"
"DAY1_FC",NA,"Thevenard","Day1","FC",NA,NA,2021,"February"
"DAY2_BC","MT_Buoy","Montebello",NA,"BC",NA,NA,2021,"February"
"DAY2_FC","MT_Buoy","Montebello",NA,"FC",NA,NA,2021,"February"
"EB1_2021_",NA,NA,NA,NA,NA,NA,NA,NA
"EB2_2021_",NA,NA,NA,NA,NA,NA,NA,NA
"EB3_2021_",NA,NA,NA,NA,NA,NA,NA,NA
"MT_B_1","MT_Buoy","Montebello","Montes Buoy 1","1",-20.39299,115.48026,2021,"February"
"MT_B_2","MT_Buoy","Montebello","Montes Buoy 1","2",-20.39299,115.48026,2021,"February"
"MT_B_3","MT_Buoy","Montebello","Montes Buoy 1","3",-20.39299,115.48026,2021,"February"
"MT_B_4","MT_Buoy","Montebello","Montes Buoy 1","4",-20.39299,115.48026,2021,"February"
"MT_B_5","MT_Buoy","Montebello","Montes Buoy 1","5",-20.39299,115.48026,2021,"February"
"MT_L1_1","MT_INTERTIDAL1","Montebello","Intertidal 1","1",-20.40651,115.51131,2021,"February"
"MT_L1_2","MT_INTERTIDAL1","Montebello","Intertidal 1","2",-20.40651,115.51131,2021,"February"
"MT_L1_3","MT_INTERTIDAL1","Montebello","Intertidal 1","3",-20.40651,115.51131,2021,"February"
"MT_L1_4","MT_INTERTIDAL1","Montebello","Intertidal 1","4",-20.40651,115.51131,2021,"February"
"MT_L1_5","MT_INTERTIDAL1","Montebello","Intertidal 1","5",-20.40651,115.51131,2021,"February"
"MT_L2_1","MT_INTERTIDAL2","Montebello","Intertidal 2","1",-20.447198,115.504045,2021,"February"
"MT_L2_2","MT_INTERTIDAL2","Montebello","Intertidal 2","2",-20.447198,115.504045,2021,"February"
"MT_L2_3","MT_INTERTIDAL2","Montebello","Intertidal 2","3",-20.447198,115.504045,2021,"February"
"MT_L2_4","MT_INTERTIDAL2","Montebello","Intertidal 2","4",-20.447198,115.504045,2021,"February"
"MT_L2_5","MT_INTERTIDAL2","Montebello","Intertidal 2","5",-20.447198,115.504045,2021,"February"
"MT_S1_1","MT_SUBTIDAL1","Montebello","Subtidal 1","1",-20.405209,115.501073,2021,"February"
"MT_S1_2","MT_SUBTIDAL1","Montebello","Subtidal 1","2",-20.405209,115.501073,2021,"February"
"MT_S1_3","MT_SUBTIDAL1","Montebello","Subtidal 1","3",-20.405209,115.501073,2021,"February"
"MT_S1_4","MT_SUBTIDAL1","Montebello","Subtidal 1","4",-20.405209,115.501073,2021,"February"
"MT_S1_5","MT_SUBTIDAL1","Montebello","Subtidal 1","5",-20.405209,115.501073,2021,"February"
"MT_S2_1","MT_SUBTIDAL2","Montebello","Subtidal 2","1",-40.445935,115.498207,2021,"February"
"MT_S2_2","MT_SUBTIDAL2","Montebello","Subtidal 2","2",-20.445935,115.498207,2021,"February"
"MT_S2_3","MT_SUBTIDAL2","Montebello","Subtidal 2","3",-20.445935,115.498207,2021,"February"
"MT_S2_4","MT_SUBTIDAL2","Montebello","Subtidal 2","4",-20.445935,115.498207,2021,"February"
"MT_S2_5","MT_SUBTIDAL2","Montebello","Subtidal 2","5",-20.445935,115.498207,2021,"February"
"TVB_1","TV_Buoy","Thevenard","Central Pilbara","1",-21.418817,114.892167,2021,"February"
"TVB_2","TV_Buoy","Thevenard","Central Pilbara","2",-21.418817,114.892167,2021,"February"
"TVB_3","TV_Buoy","Thevenard","Central Pilbara","3",-21.418817,114.892167,2021,"February"
"TVB_4","TV_Buoy","Thevenard","Central Pilbara","4",-21.418817,114.892167,2021,"February"
"TVB_5","TV_Buoy","Thevenard","Central Pilbara","5",-21.418817,114.892167,2021,"February"
