"","Location","Latitude","Longitude","Site_depth","Sample_depth"
"AB1_AUV01_15_1","Pelsaert",-28.84793179,114.0274219,"11",7.9
"AB1_AUV01_15_2","Pelsaert",-28.84793179,114.0274219,"11",7.9
"AB1_AUV01_15_3","Pelsaert",-28.84793179,114.0274219,"11",7.9
"AB1_AUV01_15_4","Pelsaert",-28.84793179,114.0274219,"11",7.9
"AB1_AUV01_15_5","Pelsaert",-28.84793179,114.0274219,"11",7.9
"AB1_AUV01_N_10_1","Wallabi",-28.84941832,114.0267825,"9.3",7.5
"AB1_AUV01_N_10_2","Wallabi",-28.84941832,114.0267825,"9.3",7.5
"AB1_AUV01_N_10_3","Wallabi",-28.84941832,114.0267825,"9.3",7.5
"AB1_AUV01_N_10_4","Wallabi",-28.84941832,114.0267825,"9.3",7.5
"AB1_AUV01_N_10_5","Wallabi",-28.84941832,114.0267825,"9.3",7.5
"AB1_AUV03_45_1","Pelsaert",-28.84246235,114.0421947,"45",40
"AB1_AUV03_45_2","Pelsaert",-28.84246235,114.0421947,"45",40
"AB1_AUV03_45_3","Pelsaert",-28.84246235,114.0421947,"45",40
"AB1_AUV03_45_4","Pelsaert",-28.84246235,114.0421947,"45",40
"AB1_AUV03_45_5","Pelsaert",-28.84246235,114.0421947,"45",40
"AB1_AUV03_N_40_1","Wallabi",-28.84701769,114.0456207,"46.5",42
"AB1_AUV03_N_40_2","Wallabi",-28.84701769,114.0456207,"46.5",42
"AB1_AUV03_N_40_3","Wallabi",-28.84701769,114.0456207,"46.5",42
"AB1_AUV03_N_40_4","Wallabi",-28.84701769,114.0456207,"46.5",42
"AB1_AUV03_N_40_5","Wallabi",-28.84701769,114.0456207,"46.5",42
"AB1_AUV04_15_1","Pelsaert",-28.8182211,113.9462361,"12.2",11
"AB1_AUV04_15_2","Pelsaert",-28.8182211,113.9462361,"12.2",11
"AB1_AUV04_15_3","Pelsaert",-28.8182211,113.9462361,"12.2",11
"AB1_AUV04_15_4","Pelsaert",-28.8182211,113.9462361,"12.2",11
"AB1_AUV04_15_5","Pelsaert",-28.8182211,113.9462361,"12.2",11
"AB1_AUV04_N_15_1","Wallabi",-28.8182979,113.9468396,"15",16
"AB1_AUV04_N_15_2","Wallabi",-28.8182979,113.9468396,"15",16
"AB1_AUV04_N_15_3","Wallabi",-28.8182979,113.9468396,"15",16
"AB1_AUV04_N_15_4","Wallabi",-28.8182979,113.9468396,"15",16
"AB1_AUV04_N_15_5","Wallabi",-28.8182979,113.9468396,"15",16
"AB1_AUV06_35_1","Pelsaert",-28.77483631,113.9775698,"38.6",34
"AB1_AUV06_35_2","Pelsaert",-28.77483631,113.9775698,"38.6",34
"AB1_AUV06_35_3","Pelsaert",-28.77483631,113.9775698,"38.6",34
"AB1_AUV06_35_4","Pelsaert",-28.77483631,113.9775698,"38.6",34
"AB1_AUV06_35_5","Pelsaert",-28.77483631,113.9775698,"38.6",34
"AB1_AUV06_N_35_1","Pelsaert",-28.774836,113.97757,"36",35
"AB1_AUV06_N_35_2","Pelsaert",-28.774836,113.97757,"36",35
"AB1_AUV06_N_35_3","Pelsaert",-28.774836,113.97757,"36",35
"AB1_AUV06_N_35_4","Pelsaert",-28.774836,113.97757,"36",35
"AB1_AUV06_N_35_5","Pelsaert",-28.774836,113.97757,"36",35
"AB1_BL01",NA,NA,NA,NA,NA
"AB1_BL02",NA,NA,NA,NA,NA
"AB1_BL03",NA,NA,NA,NA,NA
"AB1_BL04",NA,NA,NA,NA,NA
"AB1_BL05",NA,NA,NA,NA,NA
